% syllable counter

@relation grammar.symbolic
@attribute syllable1 numeric
@attribute syllable2 numeric
@attribute syllable3 numeric
@attribute syllable4 numeric
@attribute syllable5 numeric
@attribute syllable6 numeric
@attribute syllable7 numeric
@attribute syllable8 numeric
@attribute syllable9 numeric
@attribute syllable10 numeric
@attribute syllable11 numeric
@attribute syllable12 numeric
@attribute syllable13 numeric
@attribute syllable14 numeric
@attribute syllable15 numeric
@attribute syllable16 numeric
@attribute syllable17 numeric
@attribute syllable18 numeric
@attribute syllable19 numeric
@attribute syllable20 numeric
@attribute syllable21 numeric
@attribute syllable22 numeric
@attribute syllable23 numeric
@attribute syllable24 numeric
@attribute syllable25 numeric
@attribute syllable26 numeric
@attribute syllable27 numeric
@attribute syllable28 numeric
@attribute syllable29 numeric
@attribute syllable30 numeric
@attribute grammar {further,farther}

@data
1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,1,1,3,1,1,1,1,1,further
1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,1,1,4,2,1,3,1,1,1,1,3,1,1,1,further
1,1,1,1,1,1,1,1,1,1,5,3,1,1,1,4,1,1,1,1,2,3,1,1,3,2,1,1,1,4,further
1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,3,1,2,2,1,2,1,1,2,4,further
1,1,1,5,2,1,3,1,3,3,1,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,further
2,3,2,1,2,1,1,4,1,1,3,1,2,1,2,2,1,3,2,1,2,1,1,1,1,1,1,1,1,1,further
1,1,1,1,1,1,1,1,1,1,1,1,1,2,2,3,2,1,1,1,1,1,1,1,1,1,1,1,1,1,further
1,1,1,1,2,1,1,1,1,1,2,1,1,1,1,1,1,1,2,2,1,1,1,1,1,1,1,1,1,1,further
1,1,2,1,1,1,1,3,1,1,4,1,1,2,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,further
1,1,1,1,1,1,1,3,1,1,2,3,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,further
1,1,1,1,1,1,1,1,1,1,1,1,3,1,5,1,1,1,1,2,1,1,3,2,4,1,1,1,1,1,further
1,1,1,1,1,1,1,1,1,3,1,1,2,1,3,2,1,4,1,1,1,1,1,1,1,1,1,1,1,1,further
1,1,2,1,1,1,2,5,5,1,2,1,1,1,3,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,further
1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,further
1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,3,1,1,2,1,2,1,1,1,1,1,2,1,1,1,further
1,1,1,1,1,2,1,1,1,2,2,1,1,4,1,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,further
1,1,1,1,1,1,1,1,1,1,1,1,3,1,1,1,1,1,1,2,1,1,3,1,1,3,1,1,2,1,further
1,1,1,1,5,1,1,1,1,1,1,4,1,4,1,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,further
1,3,1,1,1,2,1,6,1,1,1,2,1,1,2,4,1,1,1,1,1,1,1,1,1,1,1,1,1,1,further
1,1,1,1,1,1,1,1,2,1,1,1,1,1,1,1,1,1,2,1,1,1,1,1,1,1,1,1,1,1,further
1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,3,1,1,2,1,1,1,2,1,1,2,1,further
1,1,1,1,1,1,1,1,2,1,1,3,1,2,1,1,1,2,4,1,1,3,1,1,1,1,1,1,1,1,further
2,1,1,1,2,1,1,1,1,1,3,1,1,1,1,2,1,1,4,3,1,2,2,2,1,1,2,1,2,1,further
1,1,1,1,1,1,1,1,1,1,1,1,1,1,3,2,1,2,1,1,1,1,1,1,1,1,1,1,1,1,further
1,1,1,3,1,1,1,1,1,1,1,1,1,1,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,further
1,1,1,1,1,1,1,1,1,1,1,1,1,3,1,3,1,1,1,1,1,1,1,1,1,1,1,1,1,1,further
2,1,1,3,1,1,1,1,1,2,1,1,5,1,1,5,1,1,1,1,1,3,2,1,1,1,1,1,1,1,further
1,1,1,1,1,1,1,3,2,1,1,3,1,1,2,1,2,1,3,1,1,1,1,1,1,1,1,1,1,1,further
1,1,1,1,3,2,1,1,2,1,1,1,1,1,1,1,1,3,1,1,1,1,1,1,1,1,1,1,1,1,further
1,2,1,1,1,1,3,1,3,1,1,1,1,1,1,3,1,1,4,3,1,1,1,1,1,1,1,1,1,1,further
1,1,1,1,3,5,1,2,3,2,1,1,2,1,1,2,1,3,2,3,2,1,1,1,1,1,1,1,1,1,further
1,1,1,1,1,1,1,1,1,1,2,1,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,further
1,1,1,1,1,1,1,1,1,1,1,1,1,2,2,2,1,2,1,1,1,2,1,2,1,1,1,3,1,1,further
1,1,1,2,1,1,1,1,1,3,2,1,1,1,1,2,1,3,1,1,1,1,1,1,1,1,3,3,1,2,further
1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,3,2,1,1,1,1,1,1,1,1,1,1,1,further
1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,1,3,2,1,3,1,1,1,1,3,1,1,1,1,1,further
1,1,1,1,1,1,1,1,1,1,1,1,2,3,1,1,1,1,1,1,5,3,1,2,1,2,1,1,1,1,further
1,1,1,1,1,1,1,1,1,1,2,1,1,2,1,2,1,1,2,1,1,1,1,1,1,1,1,1,1,1,further
1,1,1,1,1,1,1,1,2,1,1,1,1,1,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,further
2,2,1,1,1,1,2,1,1,1,1,2,2,1,1,2,1,2,3,2,2,2,1,1,1,1,1,1,2,1,further
1,1,3,4,1,2,3,1,1,1,2,1,2,2,2,1,1,1,1,2,1,2,1,1,1,1,2,1,1,1,further
1,1,1,1,1,1,1,1,1,1,1,1,2,2,3,1,1,1,1,2,2,2,2,1,1,1,1,1,1,1,further
1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,1,1,1,1,1,1,1,1,1,1,2,further
1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,2,1,1,4,1,1,1,1,1,1,1,1,3,1,1,further
1,1,1,1,1,1,1,1,3,2,1,1,1,1,4,2,1,1,4,1,2,3,1,2,1,4,3,1,2,1,further
1,1,1,1,1,1,1,1,1,1,1,1,5,1,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,further
1,1,1,1,1,1,1,1,2,1,1,1,1,1,1,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,further
1,1,1,1,1,1,2,1,1,1,1,1,2,1,1,2,1,2,1,1,1,1,2,1,2,1,1,1,1,1,further
1,1,1,1,1,1,1,1,1,1,1,1,2,1,2,1,2,3,1,1,1,5,1,1,1,1,1,1,1,1,further
1,1,2,2,2,1,2,1,1,1,1,1,1,1,2,2,4,1,1,1,1,1,1,1,1,1,1,1,1,1,further
1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,further
1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,further
1,1,1,2,1,1,1,2,1,2,1,1,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,further
1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,further
1,1,1,1,1,1,1,1,1,1,1,1,2,1,2,1,1,2,1,1,1,1,1,1,1,1,1,1,1,1,further
1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,further
1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,1,2,3,1,1,1,1,1,1,2,1,1,1,2,further
1,1,1,1,1,1,3,2,1,1,4,1,1,3,1,2,2,1,1,1,1,1,1,1,1,1,1,1,1,1,further
1,1,1,1,1,1,1,1,2,2,1,2,1,1,1,2,2,1,3,3,1,1,3,1,1,2,1,1,1,1,further
1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,1,1,1,1,1,1,1,1,1,1,1,1,1,further
1,1,1,1,1,1,1,1,1,1,1,1,1,2,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,further
1,2,1,1,2,2,2,1,2,1,3,1,1,1,1,1,2,1,3,1,1,1,1,1,1,1,1,1,1,1,further
1,1,1,1,1,1,1,1,1,1,1,2,1,1,1,1,1,1,2,1,1,1,3,1,1,2,1,1,2,1,further
1,1,1,1,1,1,1,1,1,4,2,1,1,1,1,2,1,5,1,1,1,1,1,1,1,1,1,1,1,1,further
1,2,3,1,1,3,1,1,1,1,2,1,5,1,2,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,further
1,1,1,1,1,1,1,1,1,1,1,2,1,2,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,further
1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,2,2,1,1,1,2,1,1,1,1,1,1,1,1,1,further
1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,1,1,2,2,1,4,1,1,1,1,1,1,1,1,further
1,1,1,1,1,2,1,2,1,2,1,2,1,2,1,1,3,1,2,1,1,4,1,2,1,1,1,1,1,3,further
1,1,2,1,1,1,1,1,1,1,1,1,3,1,2,3,1,1,1,1,1,1,1,1,1,1,1,1,1,1,further
1,1,1,3,1,1,2,1,2,1,1,1,1,1,2,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,further
1,1,1,1,1,1,1,1,1,1,1,1,1,1,3,2,1,1,1,1,1,1,3,1,3,1,1,1,1,2,further
1,1,1,1,1,1,3,1,1,3,1,1,1,1,1,1,1,1,1,1,1,2,1,3,1,1,1,1,1,1,further
1,1,1,1,2,1,1,1,1,1,1,3,3,1,2,4,1,1,1,1,1,1,1,1,1,1,1,1,1,1,further
1,1,1,1,1,1,1,1,1,2,1,1,3,1,2,1,1,1,3,1,1,1,1,1,1,1,1,1,1,1,further
1,1,1,1,1,1,1,1,1,1,3,1,4,1,2,1,1,1,1,2,2,1,1,1,1,1,1,1,1,1,further
1,1,1,1,1,1,1,1,2,1,4,1,1,1,1,2,1,2,1,1,1,2,1,1,1,1,1,2,1,1,further
1,1,1,1,1,1,1,3,1,1,1,2,1,3,1,4,1,1,3,1,1,1,1,1,1,1,1,1,1,1,further
1,1,1,4,1,1,1,1,1,1,2,3,2,1,2,2,2,3,1,4,3,1,1,1,1,1,1,1,1,1,further
1,1,1,1,1,1,1,1,1,1,1,3,2,1,1,2,1,2,3,1,5,2,1,1,1,1,3,6,1,1,further
1,1,1,1,1,1,1,1,1,1,2,3,1,3,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,further
2,1,1,1,1,1,1,1,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,further
1,1,1,1,1,1,1,1,1,1,3,1,3,2,1,4,1,1,1,1,1,1,1,1,1,1,1,1,1,1,further
1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,1,1,1,1,1,2,2,3,1,further
1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,1,1,2,2,2,1,1,1,1,2,2,1,further
1,1,1,3,1,1,1,1,2,1,1,1,1,1,1,1,2,2,1,1,1,1,1,1,1,1,1,1,1,1,further
1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,1,1,1,1,3,1,1,1,1,1,2,further
1,1,1,1,1,1,1,1,1,1,1,1,1,2,1,4,1,2,1,1,1,1,1,2,1,2,1,1,1,1,further
1,1,1,1,1,1,1,1,1,2,1,1,3,1,1,1,1,1,2,1,1,4,1,3,1,2,1,1,1,1,further
1,1,4,1,1,1,1,1,1,1,1,4,1,1,3,3,1,1,1,1,1,1,1,1,1,1,1,1,1,1,further
1,2,1,1,1,2,1,3,1,1,1,2,1,1,1,2,1,2,1,1,1,1,2,1,1,1,1,1,2,2,further
2,1,1,1,1,1,1,2,1,1,1,1,2,1,1,1,1,3,1,1,4,1,1,1,1,1,1,1,1,1,further
1,1,2,1,1,1,1,2,1,1,1,2,2,1,2,3,1,1,1,1,1,1,1,1,1,1,1,1,1,1,further
1,3,1,1,1,1,3,1,1,1,2,1,1,1,2,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,further
2,1,1,2,2,1,1,1,1,2,1,1,2,3,1,3,1,4,1,1,1,1,1,1,1,1,1,1,1,1,further
1,1,4,1,1,1,3,1,1,2,1,1,2,3,1,3,1,1,1,1,1,1,1,1,1,1,1,1,1,1,further
1,1,1,1,1,1,1,1,1,1,1,1,1,2,1,1,1,1,1,1,2,1,3,1,2,3,1,1,1,1,further
1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,2,1,3,1,1,5,2,2,1,6,1,2,3,2,further
1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,1,1,2,1,1,1,1,3,further
1,1,1,2,1,2,1,1,1,1,1,2,1,4,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,further
1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,1,1,1,2,1,1,1,1,1,1,1,1,1,1,further
1,1,1,1,1,1,1,1,1,1,2,2,2,1,1,1,1,1,1,2,1,2,2,1,1,2,1,2,1,1,further
1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,3,1,1,3,2,1,1,1,2,further
4,2,1,1,2,3,1,2,2,1,1,3,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,further
1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,1,1,1,1,1,1,further
1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,1,1,1,1,1,1,1,2,1,1,1,1,1,1,further
1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,1,3,2,2,1,2,2,1,1,2,1,4,1,4,further
1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,1,1,2,1,1,3,3,1,1,1,1,1,1,3,further
1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,4,1,1,1,1,1,2,2,1,1,1,1,further
1,1,1,4,3,1,1,1,1,3,1,2,1,2,1,1,2,1,2,1,2,2,1,1,1,1,1,1,1,1,further
1,1,1,1,1,1,1,1,1,1,1,3,1,1,3,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,further
1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,1,1,1,1,1,1,1,1,2,1,further
1,3,2,1,1,1,1,4,1,1,2,3,1,1,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,further
1,3,1,1,1,1,1,1,3,3,1,1,1,2,2,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,further
1,1,1,1,1,1,1,3,2,1,1,1,1,1,2,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,further
1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,1,1,1,5,2,2,1,1,2,1,2,1,further
2,1,1,1,1,1,1,1,3,1,1,1,1,1,1,3,1,1,1,1,1,1,1,1,1,1,1,1,1,1,further
1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,2,1,1,1,1,1,3,1,1,1,2,1,1,further
1,1,1,1,1,1,1,1,2,1,1,2,1,2,1,5,1,1,1,2,1,1,1,1,1,1,1,1,1,1,further
1,1,1,1,1,1,2,1,1,1,3,1,2,1,1,1,1,1,1,1,1,2,1,1,1,1,1,2,1,1,further
1,1,1,1,1,1,1,1,1,1,1,3,2,1,4,1,1,3,4,1,1,1,1,1,1,1,1,1,1,1,further
1,1,1,1,1,1,1,1,1,1,1,1,1,4,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,further
1,1,1,1,1,3,1,2,1,1,1,1,1,2,2,1,1,2,3,1,3,1,2,1,1,2,1,1,1,1,further
1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,2,1,1,1,1,1,1,2,1,2,1,1,1,1,2,further
1,1,1,1,3,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,further
1,1,1,1,1,1,1,1,1,2,1,1,1,2,1,2,1,2,1,1,1,1,1,1,1,1,1,1,1,1,further
1,1,1,1,1,1,1,1,1,1,1,1,1,2,1,2,2,2,1,1,1,1,1,3,1,1,1,1,1,1,further
1,1,1,1,1,1,1,1,2,1,1,1,1,3,1,1,2,1,1,1,2,1,2,2,1,2,1,1,1,1,further
1,1,1,1,1,1,1,1,1,2,1,1,1,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,further
1,1,1,1,1,1,1,1,1,1,1,1,1,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,further
1,1,1,2,2,2,1,1,2,1,2,1,1,1,2,1,1,1,1,1,2,1,2,1,1,1,1,1,1,1,further
1,1,1,2,1,1,1,2,2,1,4,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,further
1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,1,1,1,1,1,1,1,1,1,1,1,1,further
1,1,1,1,1,1,2,1,1,2,1,1,1,1,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,further
1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,2,1,1,1,1,1,1,1,1,1,1,further
1,1,1,1,1,1,1,1,2,1,1,1,1,3,1,1,2,1,1,1,2,1,2,2,1,2,1,1,1,1,further
1,1,1,1,1,1,1,1,1,1,1,1,1,2,2,2,2,1,2,2,1,1,1,1,1,2,1,1,3,1,further
4,1,1,5,3,1,1,1,2,1,1,1,1,1,2,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,further
1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,1,1,3,1,1,1,4,2,1,3,4,1,1,further
1,1,1,1,1,1,1,3,1,1,1,1,1,1,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,further
1,1,1,1,1,1,1,1,3,1,1,1,1,3,1,1,1,1,1,1,1,1,1,2,1,1,1,1,1,1,further
1,1,1,2,1,2,4,2,1,2,1,1,2,1,2,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,further
1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,further
1,1,1,1,1,1,1,1,1,1,1,3,1,3,1,4,1,1,2,1,1,1,1,4,3,1,2,1,2,1,further
1,2,2,2,1,1,1,1,1,1,1,1,4,1,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,further
1,1,1,1,1,1,1,1,1,1,1,2,1,1,2,2,1,1,1,1,1,2,2,1,1,1,1,1,1,1,further
1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,1,4,1,1,1,1,1,1,1,1,1,1,1,1,1,further
1,2,1,1,2,1,1,1,1,1,1,1,1,1,1,1,1,2,1,2,3,1,1,1,1,1,2,5,1,1,further
2,1,1,2,1,1,1,1,1,1,1,1,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,further
1,4,2,1,2,1,2,2,1,2,1,2,2,1,1,2,3,1,1,3,1,1,1,2,2,3,2,1,1,1,further
1,1,1,1,3,2,1,1,1,1,1,1,1,2,2,2,1,1,1,3,3,1,1,1,1,1,1,1,1,1,further
1,1,1,1,1,1,1,1,1,1,1,1,1,1,3,2,2,4,1,3,1,1,1,1,1,1,1,1,1,1,further
1,1,1,2,3,1,2,1,1,1,1,1,1,2,1,1,2,1,1,2,1,1,1,4,1,1,1,3,1,1,further
1,1,1,1,1,1,1,2,1,1,1,1,1,1,1,1,2,1,1,1,3,1,1,1,2,1,1,1,3,1,further
1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,3,2,3,1,2,2,1,1,1,2,3,1,1,further
1,1,1,1,1,1,1,1,1,1,2,1,1,1,2,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,further
1,1,1,1,1,1,1,1,1,2,1,2,1,1,2,2,1,1,2,1,1,1,1,1,1,1,1,1,1,1,further
2,1,1,1,1,4,2,1,2,1,1,1,2,1,1,3,1,1,1,2,1,1,4,1,1,1,2,2,1,2,further
1,1,1,1,1,1,1,1,1,1,2,4,2,1,3,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,further
1,1,1,1,1,1,1,1,1,1,2,1,1,1,2,1,1,3,2,2,1,3,2,1,1,2,1,1,1,1,further
1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,further
1,1,2,3,3,1,1,1,1,1,2,1,1,3,1,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,further
1,1,1,1,1,1,1,1,1,1,1,1,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,further
2,1,1,2,3,1,1,2,1,2,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,further
1,3,2,1,4,1,1,1,1,1,1,1,2,3,3,1,1,1,1,1,3,1,2,4,2,1,3,1,2,5,further
1,1,1,1,1,1,1,1,1,1,1,2,1,1,1,1,2,2,1,2,1,1,1,1,1,1,2,1,1,2,further
1,1,1,1,1,1,1,1,4,3,1,1,1,2,1,2,1,3,1,1,1,2,1,1,1,1,1,1,1,1,further
1,1,1,1,1,1,2,2,1,1,1,1,1,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,further
1,1,1,1,1,1,1,1,1,1,1,1,1,5,1,1,5,1,1,3,1,1,4,2,4,4,2,3,2,1,further
1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,3,1,1,2,3,1,2,1,2,1,5,4,1,1,further
1,1,1,1,1,1,1,1,1,1,1,5,1,1,2,1,3,2,1,3,1,2,3,1,1,1,1,1,2,1,further
1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,4,1,3,1,1,1,1,1,1,1,1,1,1,1,1,further
1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,4,1,1,4,1,1,1,1,1,1,1,1,1,1,1,further
1,1,1,3,4,3,1,1,2,5,1,3,2,1,1,3,1,1,2,1,1,3,1,1,1,1,1,1,1,1,further
4,1,1,2,1,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,further
3,3,2,1,1,2,1,1,1,1,3,1,1,2,2,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,further
1,1,1,1,1,2,1,1,2,1,1,1,1,1,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,further
1,1,1,1,1,1,1,1,1,1,1,4,1,1,2,1,1,1,1,3,1,3,1,1,1,1,1,1,1,1,further
1,1,1,4,1,2,1,2,1,3,2,1,1,2,2,2,3,1,1,1,1,1,1,1,1,1,1,1,1,1,further
1,1,1,1,1,1,2,1,1,1,2,4,1,2,1,3,2,1,1,1,1,1,1,1,1,1,1,1,1,1,further
2,1,1,2,1,3,1,1,1,1,4,1,2,1,2,2,1,1,1,2,1,1,5,1,1,1,1,1,1,1,further
1,1,3,1,1,1,1,2,1,4,1,1,1,2,1,3,2,1,1,1,1,2,1,1,1,1,1,1,1,1,further
4,1,1,2,1,1,3,2,1,1,2,1,1,4,1,3,1,1,1,1,1,1,1,1,1,1,1,1,1,1,further
1,1,1,2,1,1,1,1,1,2,2,1,2,3,3,3,3,1,2,1,4,1,1,1,1,1,1,1,1,2,further
2,3,1,1,1,3,1,1,2,1,1,1,1,1,3,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,further
1,1,1,1,1,1,1,1,1,3,1,1,1,3,1,3,1,4,1,2,2,1,4,1,2,1,1,1,1,1,further
1,1,1,1,1,1,1,1,1,1,1,1,3,1,1,1,2,1,3,1,3,1,3,1,4,1,1,3,1,2,further
2,1,3,3,1,1,1,4,2,1,3,1,1,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,further
1,1,1,1,1,1,1,2,2,1,1,2,1,1,3,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,further
1,1,1,1,1,1,1,2,1,2,1,2,1,2,1,1,4,1,3,1,1,1,1,1,1,1,1,1,1,1,further
2,1,1,2,1,1,1,2,1,1,2,2,1,3,1,1,1,1,1,1,1,2,1,2,1,1,1,1,2,1,further
1,1,1,1,1,1,1,1,1,1,1,1,2,3,1,2,1,3,2,1,2,1,1,1,1,1,1,2,5,1,further
3,1,1,3,1,4,1,3,2,3,1,1,1,1,3,2,4,1,1,1,1,1,1,1,1,1,1,1,1,1,further
2,1,3,2,2,1,1,1,1,2,4,1,1,1,1,1,1,1,2,1,1,1,1,1,1,1,1,1,1,1,further
2,1,1,1,3,1,3,3,1,1,3,1,2,3,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,further
2,1,2,1,2,1,3,1,1,1,3,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,further
4,4,4,3,4,1,1,1,3,1,1,3,1,3,1,1,2,1,2,1,1,2,1,1,1,1,1,1,1,1,further
1,3,4,3,1,1,3,1,3,2,2,4,2,1,1,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,further
1,1,1,1,3,1,1,1,4,5,1,1,2,3,2,1,3,2,3,1,1,2,1,1,1,1,1,1,1,1,further
1,1,3,1,1,1,1,2,1,2,2,1,1,2,2,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,further
1,1,3,1,1,1,1,3,1,3,1,1,3,1,1,1,1,3,1,2,1,1,1,2,1,3,1,1,2,1,further
1,1,1,1,1,1,1,1,1,1,1,1,1,2,1,5,1,1,1,2,1,1,4,1,1,1,1,1,1,1,further
1,1,1,1,1,3,1,1,2,1,1,2,1,1,3,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,further
1,1,1,1,1,1,3,1,3,1,1,3,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,further
1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,5,1,1,1,1,3,1,3,3,1,1,2,1,4,further
1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,1,1,1,2,1,1,2,1,2,2,1,3,4,1,1,further
1,1,1,1,1,1,1,1,1,1,1,1,3,2,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,further
1,1,1,1,1,1,1,1,1,1,1,2,1,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,further
1,1,1,1,1,1,1,1,1,2,1,1,1,2,1,2,1,3,1,2,1,1,1,2,2,2,1,1,1,1,further
1,2,1,1,2,3,2,1,1,2,2,1,1,1,1,1,2,1,4,3,1,1,1,1,1,1,1,1,1,1,further
1,1,1,1,1,1,1,1,1,1,1,1,2,1,4,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,further
1,1,1,1,1,1,1,1,1,1,1,2,1,2,3,3,1,1,1,1,1,1,1,1,1,1,1,1,1,1,further
1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,2,1,1,2,3,1,2,1,1,3,2,1,2,1,1,further
1,1,1,1,1,1,1,1,1,1,2,1,1,1,4,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,further
1,2,1,1,1,2,3,2,1,1,1,1,1,4,2,2,1,1,2,1,1,1,1,1,1,1,1,1,1,1,further
1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,2,1,1,1,1,2,1,2,1,3,2,1,1,1,2,further
1,2,1,3,1,2,1,1,3,1,3,1,2,1,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,further
1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,1,1,1,1,3,1,2,1,2,1,1,1,1,2,further
